Date,Open,High,Low,Close,Volume
2021-04-19,130.03811104016313,131.94714842450873,129.87253361765187,131.33352661132812,94264200
2021-04-20,131.50889480005515,132.0056272235911,128.38236227240412,129.6485595703125,94812300
2021-04-21,128.91801209652044,130.27186490176769,127.8855795077404,130.0283660888672,68847100
2021-04-22,129.58034294411806,130.66147844484067,127.99274053029319,128.5089569091797,84566500
2021-04-23,128.72325347974677,131.60627194079382,128.72325347974677,130.82708740234375,78657500
2021-04-26,131.32384544654548,131.54786030204147,130.08686671385888,131.21670532226562,66905100
2021-04-27,131.49916682602472,131.88877406090668,130.62257655603392,130.89529418945312,66015800
2021-04-28,130.81733580986761,131.5088791677975,129.61932548257246,130.1063232421875,107760100
2021-04-29,132.92117853809344,133.50558183329358,129.00571212903608,130.00892639160156,151101000
2021-04-30,128.35315956120257,130.0868708182536,127.66163089702832,128.04148864746094,109839500
2021-05-03,128.60637073689202,130.58359545105438,128.401839986388,129.09336853027344,75135100
2021-05-04,127.77848641989287,128.070688075214,123.40524078183631,124.52533721923828,137564700
2021-05-05,125.84023856195147,127.05773315883954,124.6422280399721,124.76885223388672,84000900
2021-05-06,124.5643128982338,126.37594554444907,123.82407406523244,126.3662109375,78128300
2021-05-07,127.66379828936026,128.06380344320834,126.32714777247271,127.03938293457031,78973300
2021-05-10,126.25888455817044,126.38570894939902,123.72218831224927,123.76121520996094,88071200
2021-05-11,120.4927732833166,123.19532046962064,119.78054551827158,122.8440933227539,126142800
2021-05-12,120.39520469554279,121.60500854306753,119.27320577012671,119.7805404663086,112172300
2021-05-13,121.5464609574558,123.07823093502375,121.23425330099667,121.92696380615234,105861300
2021-05-14,123.17580356771927,124.7758688561986,122.78554210729591,124.3465805053711,81918000
2021-05-17,123.73193826034131,123.83926036065176,122.12211419930365,123.19532775878906,74244600
2021-05-18,123.47827441492306,123.8978042561465,121.74161842592076,121.8099136352539,63342900
2021-05-19,120.16105011854478,121.87818865261369,119.86835215925528,121.65379333496094,92612000
2021-05-20,122.1806452374261,124.61001150333645,122.05380598133526,124.20999145507812,76857100
2021-05-21,124.70757329750661,124.88319058200729,122.16112639405591,122.37577056884766,79295400
2021-05-24,122.94167191078611,124.82467691264395,122.87337670112784,124.005126953125,63092900
2021-05-25,124.70756311355534,125.19539548054684,123.24408834343369,123.80996704101562,72009500
2021-05-26,123.86853731776313,124.28806716363906,123.34168536408502,123.76121520996094,56575900
2021-05-27,123.36119642849698,124.53197352741631,122.03431174645816,122.22943878173828,94625600
2021-05-28,122.51236771666937,122.73677048730885,121.51720801205188,121.57574462890625,71311100
