Date,Open,High,Low,Close,Volume,EMA_20,EMA_50,RSI,MACD,MACD_signal,MACD_hist,BB_upper,BB_lower,BB_mid,BB_width,ATR,Return,Log_Return,Vol_MA20,Vol_ratio
2012-12-10,67.829,69.575,67.385,68.452,174216164.0,71.90299667348673,71.31841321337997,35.598062349407684,-0.018582083634740343,0.7030715018426529,-0.7216535854773932,78.19622438185382,66.23287561814618,72.21455,0.1656639661078145,2.178142857142856,-0.006430074751433312,-0.006450836730661107,177485571.35,0.9815793062775072
2012-12-11,69.737,71.003,69.427,69.948,163451165.0,71.71680651410703,71.26467151873761,42.57274119097644,-0.16299345147604072,0.5298585111789142,-0.692851962654955,78.20112856949834,66.20927143050167,72.2052,0.16608024268307622,2.199928571428571,0.021854730321977378,0.021619339136207647,178531158.35,0.9155329888106336
2012-12-12,70.773,70.8,69.288,69.639,134581946.0,71.51892017943017,71.2009196944734,41.47661158610265,-0.2989283584573883,0.3641011372516537,-0.663029495709042,78.21652078252818,66.1434792174718,72.17999999999999,0.16726297540924973,2.2085714285714277,-0.004417567335735062,-0.004427353617993477,177893054.6,0.7565328860230837
2012-12-13,68.625,69.462,67.932,68.436,172750127.0,71.22530873377016,71.09249147116071,34.22881504129414,-0.49798928719253865,0.19168305236281524,-0.6896723395553539,78.27466560154821,65.99243439845179,72.13355,0.1702707159578225,2.235357142857142,-0.017274802912161102,-0.017425753271017204,179939629.05,0.9600449212441009
2012-12-14,66.504,66.942,65.323,65.862,278959027.0,70.71451742579205,70.88737415856617,20.33625057413225,-0.8536069460341196,-0.017374947316571715,-0.8362319987175478,78.5268559265495,65.53544407345049,72.03115,0.18035824574619416,2.287,-0.03761178327196235,-0.03833735802916789,182976110.7,1.524565288511185
2012-12-17,65.755,67.182,64.759,67.032,209577804.0,70.36380148047851,70.736183015093,26.231520221103253,-1.0291637220948218,-0.21973270227222175,-0.8094310198226,78.63081418633367,65.31698581366634,71.9739,0.18498133868873068,2.3649999999999998,0.017764416507242364,0.017608473377750827,175944782.3,1.191156687117058
2012-12-18,67.829,69.111,67.215,68.978,172789056.0,70.23182038709962,70.66723466155995,33.86308068218172,-0.9997433760216268,-0.37573483702210275,-0.624008538999524,78.53319726377818,65.00340273622182,71.7683,0.18852048226776322,2.3886428571428584,0.029030910609857852,0.028617495866099196,173214772.3,0.9975422633165335
2012-12-19,68.665,68.952,67.893,68.001,124129447.0,70.01936130261394,70.562676439538,29.411467284802498,-1.0432374823629118,-0.5092353660902647,-0.5340021162726472,78.5045805536168,64.58511944638319,71.54485,0.19455573821475844,2.361714285714286,-0.014163936327524551,-0.014265202226755265,170540381.65,0.7278595591204366
2012-12-20,68.478,68.502,67.039,67.407,131211299.0,69.77056498807929,70.43892442230121,29.31069232888062,-1.1128099305520749,-0.6299502789826268,-0.4828596515694481,78.46596549371958,64.10753450628044,71.28675000000001,0.20141794916192687,2.404428571428572,-0.008735165659328636,-0.008773540858126082,171944734.7,0.7631015816153398
2012-12-21,66.217,67.141,65.921,67.098,164854230.0,69.51603498921459,70.3079077782894,28.4530938103875,-1.1792862369048152,-0.7398174705670645,-0.43946876633775067,78.2564881719494,63.64311182805062,70.94980000000001,0.20596782998511876,2.4247142857142854,-0.004584093640126352,-0.004594632818096906,176416601.1,0.9344598465909341
2012-12-24,67.229,67.735,67.017,67.204,48581683.0,69.29584118071796,70.18618590463099,30.872269173272656,-1.2094738132563378,-0.8337487391049192,-0.37572507415141865,77.5563429683242,63.4470570316758,70.5017,0.2001268896583826,2.3463571428571433,0.0015797788309634964,0.001578532293049568,170144174.2,0.2855324505139595
2012-12-26,67.055,67.115,66.037,66.278,83532447.0,69.0084277349353,70.03292371229252,38.84689986928061,-1.2932108167994727,-0.9256411546438299,-0.3675696621556428,76.91155579470865,63.16434420529134,70.03795,0.19628232393149253,2.0875714285714286,-0.013778941729658767,-0.013874752479156103,166954448.85,0.5003307643215283
2012-12-27,66.348,66.697,65.2,66.547,125717789.0,68.77400604589384,69.89622082161438,35.2937013411598,-1.3226205965919746,-1.0050370430334588,-0.31758355355851586,76.1679080061122,63.0312919938878,69.5996,0.1887455676786293,1.8744999999999996,0.004058661999456703,0.004050447848983075,166040343.6,0.7571520648190228
2012-12-28,65.928,66.469,65.649,65.839,97870604.0,68.49448166057061,69.73711412272755,38.27321565206578,-1.3870684799440198,-1.081443330415571,-0.30562514952844877,75.08284108929827,63.08575891070173,69.0843,0.1736585907156789,1.7063571428571416,-0.010639097179437118,-0.010696097018870969,163824511.25,0.5974112375079648
2012-12-31,65.903,69.172,65.764,68.754,182167904.0,68.51919769289722,69.69856062771862,50.97406785760784,-1.1892191751065297,-1.102998499353763,-0.08622067575276682,73.89075075676347,63.591349243236536,68.74105,0.14982898156941082,1.7933571428571418,0.044274670028402685,0.043322548754254224,167529139.2,1.0873804095807114
2013-01-02,71.553,71.705,69.978,70.935,154865509.0,68.74927410309749,69.74704844623946,53.04874281372288,-0.8466737747340574,-1.0517335544298219,0.2050597796957645,72.62363835448625,64.37856164551374,68.5011,0.12036415048751727,1.8219285714285698,0.031721790732175625,0.031229048091582678,170241104.8,0.909683411547033
2013-01-03,70.745,71.017,69.896,70.039,97488400.0,68.87210514089773,69.7584975267791,51.19232144559026,-0.6401248282914196,-0.9694118092021414,0.32928698091072184,71.43970534443409,65.12629465556591,68.283,0.09245948023459613,1.793999999999998,-0.012631282159723756,-0.012711735003905494,167410021.45,0.5823331193414647
2013-01-04,69.375,69.591,67.936,68.088,164191192.0,68.79742846081223,69.69298781984658,49.006962671577995,-0.6266391884484221,-0.9008572850513976,0.27421809660297547,71.30124731484432,65.11225268515568,68.20675,0.09073874110230384,1.8222857142857123,-0.027855908850783262,-0.02825124358538358,161192532.0,1.0186029710110889
2013-01-07,67.446,68.386,66.566,67.689,133721724.0,68.69186384549678,69.61440006220555,55.95230337666429,-0.6407613887030692,-0.848838105781732,0.20807671707866282,70.923955193691,65.188144806309,68.05605,0.08428068316297485,1.729928571428568,-0.0058600634473034985,-0.005877300994174512,151614618.75,0.8819843699933454
2013-01-08,68.375,68.721,67.346,67.871,126651168.0,68.61368633640186,69.54603143231515,52.92151263499616,-0.6300051480056794,-0.8050715142265216,0.17506636622084215,70.84613060638338,65.16356939361663,68.00485,0.08356111678444111,1.655071428571425,0.002688767746605869,0.0026851594770270436,147065434.25,0.8611892294466876
2013-01-09,67.533,67.83,66.664,66.808,112611881.0,68.44171620912549,69.43865765065573,41.948649446517685,-0.6991960688495453,-0.7838964251511263,0.08470035630158101,70.80429896324453,65.04100103675547,67.92265,0.08485089916957854,1.5927857142857096,-0.01566206479939869,-0.01578601080658392,143985220.1,0.7821072254623723
2013-01-10,68.287,68.31,66.607,67.636,166038770.0,68.36498133206592,69.36796519376728,48.63059952967034,-0.6793861513471597,-0.7629943703903331,0.08360821904317339,70.52759123678588,65.0865087632141,67.80704999999999,0.08024360997217485,1.6369285714285675,0.012393725302358938,0.012317551825254356,144114600.35,1.1521301075446517
2013-01-11,67.331,67.872,67.057,67.222,96900287.0,68.25612596710727,69.28380969597248,49.29641742838555,-0.6891489094139871,-0.748225278195064,0.059076368781076916,70.27567404535725,65.09672595464275,67.6862,0.07651409136141263,1.5906428571428535,-0.0061210006505411085,-0.006139810772148694,142230517.4,0.6812904063864426
2013-01-14,64.945,65.568,64.407,64.827,202815867.0,67.92954254166848,69.10903284515003,42.545788744202426,-0.8799983761681887,-0.7745798977896889,-0.10541847837849971,70.36424116438062,64.64725883561937,67.50574999999999,0.08468882026720359,1.6855714285714254,-0.03562821695278329,-0.03627839166058872,143733804.4,1.4110519640569674
2013-01-15,64.382,64.47,62.452,62.781,242045402.0,67.43920515674768,68.86087469435984,37.1222267482693,-1.1827095153497424,-0.8562058213016996,-0.3265036940480428,70.84481612355381,63.858583876446204,67.35170000000001,0.1037276304398736,1.803928571428568,-0.0315609236892036,-0.03206970331680304,141888123.15,1.705889095059187
2013-01-16,63.907,65.82,63.63,65.383,190827569.0,67.24337609420027,68.72448745144376,47.62586874281518,-1.1988312396048286,-0.9247309049623256,-0.27410033464250305,70.87031556598546,63.668184434014506,67.26924999999999,0.10706424007938624,1.9376428571428543,0.04144566031124053,0.040609805908634763,140950611.4,1.3538612362485998
2013-01-17,65.931,65.99,64.862,64.945,125178052.0,67.02448313284786,68.5762722572695,45.78820064864319,-1.232740496618277,-0.9863328232935159,-0.246407673324761,70.71712786564308,63.41807213435692,67.0676,0.10883132438428207,1.9112857142857114,-0.006698989033846803,-0.0067215279760299085,138570061.2,0.9033556809889033
2013-01-18,64.407,64.887,64.133,64.601,130744810.0,66.79367521543378,68.42037922757265,46.68167684864617,-1.2727008490177951,-1.0436064284383717,-0.22909442057942342,70.67844882700058,63.116751172999415,66.8976,0.11303391532715466,1.9051428571428544,-0.005296789591192508,-0.00531086731434215,138900829.35,0.9412817087690053
2013-01-22,65.188,65.617,64.165,65.216,127334286.0,66.64342043301151,68.29471729707961,39.18307447383777,-1.240445274983017,-1.0829741977473009,-0.15747107723571618,70.63317407437894,62.94292592562105,66.78805,0.11514407365908094,1.7654285714285685,0.009519976470952374,0.00947494705535442,138706978.7,0.9180092248667804
2013-01-23,65.739,66.537,65.216,66.411,237111514.0,66.62128515367709,68.22084603052748,35.28110358866515,-1.1057100500271986,-1.0875213682032805,-0.018188681823918085,70.59943995891285,62.90796004108713,66.7537,0.11522177673768198,1.6489999999999985,0.0183237242394505,0.018157867812189414,142319842.9,1.6660467659917575
2013-01-24,59.431,60.171,58.17,58.204,403617999.0,65.81963894856499,67.82802853913425,23.907579697805417,-1.6422370384518103,-1.1984645022529865,-0.44377253619882384,71.71510608636788,60.89229391363213,66.3037,0.1632308931887576,2.157571428571427,-0.12357892517805791,-0.13190862451441682,160071658.7,2.5214832049466356
2013-01-25,58.359,58.944,56.203,56.834,333813084.0,64.96386381060641,67.39689016505055,24.536157116736774,-2.1531657383462957,-1.3894047494716484,-0.7637609888746473,72.7034238247111,58.95957617528889,65.83149999999999,0.20877312000184306,2.2031428571428564,-0.023537901175176956,-0.02381934270609016,172585690.55,1.9341874922318116
2013-01-28,56.566,58.556,56.313,58.12,216935263.0,64.31206725721533,67.03309055073484,29.184250596438616,-2.4263416059177985,-1.5967921207608786,-0.8295494851569198,73.08396640522194,57.73633359477807,65.41015,0.23463686920791973,2.233357142857142,0.02262730055952411,0.022375100510139977,177146564.25,1.2246089215359988
2013-01-29,59.238,59.458,58.413,59.208,157788647.0,63.825965613671016,66.7262242546276,31.869741741885306,-2.5259256434063744,-1.782618825289978,-0.7433068181163964,73.23238079304646,56.92481920695353,65.0786,0.2505825507320052,2.230714285714285,0.018719889883000773,0.018546829193083196,180142466.4,0.8759103289372971
2013-01-30,59.044,59.766,58.721,59.022,115265298.0,63.36844507903568,66.42409781326965,33.08420960952816,-2.5899994546192815,-1.9440949511558387,-0.6459045034634427,72.98043712938741,56.20356287061259,64.592,0.25973610135541314,2.219142857142857,-0.0031414673692744532,-0.0031464121364894048,176797336.1,0.651962866311536
2013-01-31,59.041,59.339,58.783,58.846,88226409.0,62.93773602388942,66.12691750686692,30.34612288514066,-2.624723956798988,-2.0802207522844687,-0.5445032045145193,72.19170285020184,55.78339714979816,63.98755,0.25642966015073293,2.1372142857142853,-0.002981938938023121,-0.002986393776179264,173465381.1,0.5086110464262543
2013-02-01,59.317,59.365,57.926,58.607,149077967.0,62.52528497399519,65.83201878110742,30.58547798067248,-2.6410839062925007,-2.192393383086075,-0.4486905232064258,71.43578500224034,55.39611499775965,63.415949999999995,0.2529280095063685,2.1817857142857138,-0.004061448526662792,-0.004069718608666977,176044859.45,0.8468180636784848
2013-02-04,58.644,58.907,57.107,57.148,131820063.0,62.01316259551946,65.49146902498556,31.932614933664027,-2.7401911726330823,-2.3019529409954766,-0.43823823163760567,71.03800966307928,54.69989033692072,62.86895,0.25987581033455426,2.109285714285714,-0.02489463715938367,-0.025209749370917953,174426303.0,0.7557350051729297
